instrument,pitch,noteName,startSec,endSec,durationSec,velocity,program,isDrum,bpm,measure
Program 0,54,F#3,0.375,0.746875,0.371875,33,0,False,0.0,1
Program 0,58,A#3,0.375,0.746875,0.371875,33,0,False,0.0,1
Program 0,61,C#4,0.375,0.746875,0.371875,33,0,False,0.0,1
Program 0,60,C4,0.75,1.121874,0.371875,33,0,False,0.0,1
Program 0,65,F4,0.75,1.121874,0.371875,33,0,False,0.0,1
Program 0,68,G#4,0.75,1.121874,0.371875,33,0,False,0.0,1
Program 0,58,A#3,1.124999,1.496874,0.371875,33,0,False,0.0,1
Program 0,61,C#4,1.124999,1.496874,0.371875,33,0,False,0.0,1
Program 0,63,D#4,1.124999,1.496874,0.371875,33,0,False,0.0,1
Program 0,66,F#4,1.874999,2.246874,0.371875,33,0,False,0.0,1
Program 0,70,A#4,1.874999,2.246874,0.371875,33,0,False,0.0,1
Program 0,73,C#5,1.874999,2.246874,0.371875,33,0,False,0.0,1
Program 0,72,C5,2.249999,2.621873,0.371875,33,0,False,0.0,1
Program 0,77,F5,2.249999,2.621873,0.371875,33,0,False,0.0,1
Program 0,80,G#5,2.249999,2.621873,0.371875,33,0,False,0.0,1
Program 0,70,A#4,2.624998,2.996873,0.371875,33,0,False,0.0,1
Program 0,73,C#5,2.624998,2.996873,0.371875,33,0,False,0.0,1
Program 0,75,D#5,2.624998,2.996873,0.371875,33,0,False,0.0,1
Program 0,78,F#5,2.999998,3.371873,0.371875,33,0,False,0.0,2
Program 0,82,A#5,2.999998,3.371873,0.371875,33,0,False,0.0,2
Program 0,85,C#6,2.999998,3.371873,0.371875,33,0,False,0.0,2
Program 0,84,C6,3.374998,3.746873,0.371875,33,0,False,0.0,2
Program 0,89,F6,3.374998,3.746873,0.371875,33,0,False,0.0,2
Program 0,92,G#6,3.374998,3.746873,0.371875,33,0,False,0.0,2
Program 0,82,A#5,3.749998,4.121872,0.371875,33,0,False,0.0,2
Program 0,85,C#6,3.749998,4.121872,0.371875,33,0,False,0.0,2
Program 0,87,D#6,3.749998,4.121872,0.371875,33,0,False,0.0,2
Program 0,72,C5,4.124997,4.496872,0.371875,33,0,False,0.0,2
Program 0,77,F5,4.124997,4.496872,0.371875,33,0,False,0.0,2
Program 0,80,G#5,4.124997,4.496872,0.371875,33,0,False,0.0,2
Program 0,70,A#4,4.499997,4.871872,0.371875,33,0,False,0.0,2
Program 0,73,C#5,4.499997,4.871872,0.371875,33,0,False,0.0,2
Program 0,75,D#5,4.499997,4.871872,0.371875,33,0,False,0.0,2
Program 0,60,C4,4.874997,5.246872,0.371875,33,0,False,0.0,2
Program 0,65,F4,4.874997,5.246872,0.371875,33,0,False,0.0,2
Program 0,68,G#4,4.874997,5.246872,0.371875,33,0,False,0.0,2
Program 0,58,A#3,5.249997,5.621871,0.371875,33,0,False,0.0,2
Program 0,54,F#3,5.624996,5.978121,0.353125,33,0,False,0.0,2
Program 0,61,C#4,5.249997,5.996871,0.746875,33,0,False,0.0,2
Program 0,63,D#4,5.249997,5.996871,0.746875,33,0,False,0.0,2
Program 0,53,F3,6.374996,6.746871,0.371875,33,0,False,0.0,3
Program 0,56,G#3,6.374996,6.746871,0.371875,33,0,False,0.0,3
Program 0,63,D#4,6.374996,6.746871,0.371875,33,0,False,0.0,3
Program 0,61,C#4,6.749996,7.12187,0.371875,33,0,False,0.0,3
Program 0,65,F4,6.749996,7.12187,0.371875,33,0,False,0.0,3
Program 0,70,A#4,6.749996,7.12187,0.371875,33,0,False,0.0,3
Program 0,60,C4,7.124995,7.47812,0.353125,33,0,False,0.0,3
Program 0,63,D#4,7.124995,7.47812,0.353125,33,0,False,0.0,3
Program 0,65,F4,7.124995,7.47812,0.353125,33,0,False,0.0,3
Program 0,58,A#3,7.499995,7.87187,0.371875,33,0,False,0.0,3
Program 0,61,C#4,7.499995,7.87187,0.371875,33,0,False,0.0,3
Program 0,65,F4,7.499995,7.87187,0.371875,33,0,False,0.0,3
Program 0,65,F4,7.874995,8.24687,0.371875,33,0,False,0.0,3
Program 0,68,G#4,7.874995,8.24687,0.371875,33,0,False,0.0,3
Program 0,75,D#5,7.874995,8.24687,0.371875,33,0,False,0.0,3
Program 0,73,C#5,8.249995,8.621869,0.371875,33,0,False,0.0,3
Program 0,77,F5,8.249995,8.621869,0.371875,33,0,False,0.0,3
Program 0,82,A#5,8.249995,8.621869,0.371875,33,0,False,0.0,3
Program 0,70,A#4,8.624994,8.978119,0.353125,33,0,False,0.0,3
Program 0,73,C#5,8.624994,8.978119,0.353125,33,0,False,0.0,3
Program 0,75,D#5,8.624994,8.978119,0.353125,33,0,False,0.0,3
Program 0,77,F5,8.999994,9.374994,0.375,33,0,False,0.0,3
Program 0,80,G#5,9.374994,9.746869,0.371875,33,0,False,0.0,4
Program 0,87,D#6,9.374994,9.746869,0.371875,33,0,False,0.0,4
Program 0,73,C#5,8.999994,10.084368,1.084374,33,0,False,0.0,3
Program 0,77,F5,9.374994,10.084368,0.709375,33,0,False,0.0,4
Program 0,85,C#6,9.749994,10.121868,0.371875,33,0,False,0.0,4
Program 0,89,F6,9.749994,10.121868,0.371875,33,0,False,0.0,4
Program 0,94,A#6,9.749994,10.121868,0.371875,33,0,False,0.0,4
Program 0,84,C6,10.124993,10.496868,0.371875,33,0,False,0.0,4
Program 0,87,D#6,10.124993,10.496868,0.371875,33,0,False,0.0,4
