part,measure,voice,offsetInMeasure,name,pitch,noteType,durationType,isChord,scoreOffset,startTimeSec,durationSec,isTrill,isGrace
Piano,1,,0.25,G-3,54,normal,16th,True,0.25,0.375,0.375,False,False
Piano,1,,0.25,B-3,58,normal,16th,True,0.25,0.375,0.375,False,False
Piano,1,,0.25,D-4,61,normal,16th,True,0.25,0.375,0.375,False,False
Piano,1,,0.5,C4,60,normal,16th,True,0.5,0.75,0.375,False,False
Piano,1,,0.5,F4,65,normal,16th,True,0.5,0.75,0.375,False,False
Piano,1,,0.5,A-4,68,normal,16th,True,0.5,0.75,0.375,False,False
Piano,1,,0.75,B-3,58,normal,16th,True,0.75,1.125,0.375,False,False
Piano,1,,0.75,D-4,61,normal,16th,True,0.75,1.125,0.375,False,False
Piano,1,,0.75,E-4,63,normal,16th,True,0.75,1.125,0.375,False,False
Piano,1,,1.25,G-4,66,normal,16th,True,1.25,1.875,0.375,False,False
Piano,1,,1.25,B-4,70,normal,16th,True,1.25,1.875,0.375,False,False
Piano,1,,1.25,D-5,73,normal,16th,True,1.25,1.875,0.375,False,False
Piano,1,,1.5,C5,72,normal,16th,True,1.5,2.25,0.375,False,False
Piano,1,,1.5,F5,77,normal,16th,True,1.5,2.25,0.375,False,False
Piano,1,,1.5,A-5,80,normal,16th,True,1.5,2.25,0.375,False,False
Piano,1,,1.75,B-4,70,normal,16th,True,1.75,2.625,0.375,False,False
Piano,1,,1.75,D-5,73,normal,16th,True,1.75,2.625,0.375,False,False
Piano,1,,1.75,E-5,75,normal,16th,True,1.75,2.625,0.375,False,False
Piano,2,1,-2.0,G-5,78,normal,16th,True,0.0,0.0,0.375,False,False
Piano,2,1,-2.0,B-5,82,normal,16th,True,0.0,0.0,0.375,False,False
Piano,2,1,-2.0,D-6,85,normal,16th,True,0.0,0.0,0.375,False,False
Piano,2,1,-1.75,C6,84,normal,16th,True,0.25,0.375,0.375,False,False
Piano,2,1,-1.75,F6,89,normal,16th,True,0.25,0.375,0.375,False,False
