instrument,pitch,noteName,startSec,endSec,durationSec,velocity,program,isDrum,bpm,measure
Program 0,60,C4,0.098684,0.196546,0.097862,96,0,False,0.0,1
Program 0,64,E4,0.197369,0.29523,0.097862,96,0,False,0.0,1
Program 0,60,C4,0.296053,0.38898,0.092928,96,0,False,0.0,1
Program 0,60,C4,0.493421,0.591283,0.097862,96,0,False,0.0,1
Program 0,64,E4,0.592105,0.689967,0.097862,96,0,False,0.0,1
Program 0,60,C4,0.69079,0.783717,0.092928,96,0,False,0.0,1
Program 0,60,C4,0.888158,0.98602,0.097862,96,0,False,0.0,1
Program 0,64,E4,0.986843,1.084704,0.097862,96,0,False,0.0,1
Program 0,60,C4,1.085527,1.178454,0.092928,96,0,False,0.0,1
Program 0,58,A#3,1.282895,1.380757,0.097862,96,0,False,0.0,2
Program 0,62,D4,1.381579,1.479441,0.097862,96,0,False,0.0,2
Program 0,58,A#3,1.480264,1.573191,0.092928,96,0,False,0.0,2
Program 0,58,A#3,1.677632,1.775494,0.097862,96,0,False,0.0,2
Program 0,62,D4,1.776317,1.874178,0.097862,96,0,False,0.0,2
Program 0,58,A#3,1.875001,1.967928,0.092928,96,0,False,0.0,2
Program 0,58,A#3,2.072369,2.165297,0.092928,96,0,False,0.0,2
Program 0,62,D4,2.072369,2.165297,0.092928,96,0,False,0.0,2
Program 0,59,B3,2.269738,2.362665,0.092928,96,0,False,0.0,2
Program 0,63,D#4,2.269738,2.362665,0.092928,96,0,False,0.0,2
Program 0,60,C4,2.467106,2.564968,0.097862,96,0,False,0.0,3
Program 0,64,E4,2.56579,2.663652,0.097862,96,0,False,0.0,3
Program 0,60,C4,2.664475,2.757402,0.092928,96,0,False,0.0,3
Program 0,60,C4,2.861843,2.959705,0.097862,96,0,False,0.0,3
Program 0,64,E4,2.960527,3.058389,0.097862,96,0,False,0.0,3
Program 0,60,C4,3.059212,3.152139,0.092928,96,0,False,0.0,3
Program 0,60,C4,3.25658,3.354442,0.097862,96,0,False,0.0,3
Program 0,64,E4,3.355265,3.453126,0.097862,96,0,False,0.0,3
Program 0,60,C4,3.453949,3.546876,0.092928,96,0,False,0.0,3
Program 0,58,A#3,3.651317,3.749179,0.097862,96,0,False,0.0,4
Program 0,62,D4,3.750002,3.847863,0.097862,96,0,False,0.0,4
Program 0,58,A#3,3.848686,3.941613,0.092928,96,0,False,0.0,4
Program 0,57,A3,4.046054,4.143916,0.097862,96,0,False,0.0,4
Program 0,61,C#4,4.144738,4.2426,0.097862,96,0,False,0.0,4
Program 0,57,A3,4.243423,4.33635,0.092928,96,0,False,0.0,4
Program 0,57,A3,4.440791,4.538653,0.097862,96,0,False,0.0,4
Program 0,61,C#4,4.539475,4.637337,0.097862,96,0,False,0.0,4
Program 0,57,A3,4.63816,4.731087,0.092928,96,0,False,0.0,4
Program 0,56,G#3,4.835528,4.93339,0.097862,93,0,False,0.0,5
Program 0,60,C4,4.934213,5.032074,0.097862,89,0,False,0.0,5
Program 0,56,G#3,5.032897,5.125824,0.092928,85,0,False,0.0,5
Program 0,56,G#3,5.230265,5.328127,0.097862,77,0,False,0.0,5
Program 0,60,C4,5.32895,5.426811,0.097862,73,0,False,0.0,5
Program 0,56,G#3,5.427634,5.520561,0.092928,69,0,False,0.0,5
Program 0,56,G#3,5.625002,5.722864,0.097862,61,0,False,0.0,5
Program 0,60,C4,5.723687,5.821548,0.097862,57,0,False,0.0,5
Program 0,56,G#3,5.822371,5.915298,0.092928,53,0,False,0.0,5
Program 0,48,C3,6.019739,6.117601,0.097862,49,0,False,0.0,6
Program 0,57,A3,6.118424,6.216285,0.097862,49,0,False,0.0,6
Program 0,48,C3,6.217108,6.31497,0.097862,49,0,False,0.0,6
Program 0,50,D3,6.414476,6.512338,0.097862,49,0,False,0.0,6
Program 0,57,A3,6.51316,6.611022,0.097862,49,0,False,0.0,6
Program 0,50,D3,6.611845,6.709707,0.097862,49,0,False,0.0,6
Program 0,52,E3,6.809213,6.907075,0.097862,49,0,False,0.0,6
Program 0,57,A3,6.907897,7.005759,0.097862,49,0,False,0.0,6
Program 0,52,E3,7.006582,7.104444,0.097862,49,0,False,0.0,6
Program 0,53,F3,7.20395,7.301812,0.097862,49,0,False,0.0,7
Program 0,57,A3,7.302634,7.400496,0.097862,49,0,False,0.0,7
Program 0,53,F3,7.401319,7.499181,0.097862,49,0,False,0.0,7
Program 0,50,D3,7.598687,7.696549,0.097862,49,0,False,0.0,7
Program 0,57,A3,7.697372,7.795233,0.097862,49,0,False,0.0,7
Program 0,50,D3,7.796056,7.893918,0.097862,49,0,False,0.0,7
Program 0,52,E3,7.993424,8.091286,0.097862,49,0,False,0.0,7
Program 0,57,A3,8.092109,8.18997,0.097862,49,0,False,0.0,7
Program 0,52,E3,8.190793,8.28372,0.092928,49,0,False,0.0,7
Program 0,48,C3,8.388161,8.486023,0.097862,49,0,False,0.0,8
Program 0,57,A3,8.486845,8.584707,0.097862,49,0,False,0.0,8
Program 0,48,C3,8.58553,8.683392,0.097862,49,0,False,0.0,8
Program 0,50,D3,8.782898,8.88076,0.097862,49,0,False,0.0,8
Program 0,57,A3,8.881583,8.979444,0.097862,49,0,False,0.0,8
Program 0,50,D3,8.980267,9.078129,0.097862,49,0,False,0.0,8
Program 0,52,E3,9.177635,9.275497,0.097862,49,0,False,0.0,8
Program 0,57,A3,9.276319,9.374181,0.097862,49,0,False,0.0,8
Program 0,52,E3,9.375004,9.472866,0.097862,49,0,False,0.0,8
Program 0,53,F3,9.572372,9.670234,0.097862,49,0,False,0.0,9
Program 0,57,A3,9.671057,9.768918,0.097862,49,0,False,0.0,9
Program 0,53,F3,9.769741,9.867603,0.097862,49,0,False,0.0,9
Program 0,50,D3,9.967109,10.064971,0.097862,49,0,False,0.0,9
Program 0,57,A3,10.065793,10.163655,0.097862,49,0,False,0.0,9
Program 0,50,D3,10.164478,10.26234,0.097862,49,0,False,0.0,9
Program 0,52,E3,10.361846,10.459708,0.097862,49,0,False,0.0,9
Program 0,57,A3,10.460531,10.558392,0.097862,49,0,False,0.0,9
Program 0,52,E3,10.559215,10.652142,0.092928,49,0,False,0.0,9
Program 0,58,A#3,10.756583,10.854445,0.097862,49,0,False,0.0,10
Program 0,64,E4,10.855268,10.953129,0.097862,49,0,False,0.0,10
Program 0,58,A#3,10.953952,11.051814,0.097862,49,0,False,0.0,10
Program 0,55,G3,11.15132,11.249182,0.097862,49,0,False,0.0,10
Program 0,61,C#4,11.250004,11.347866,0.097862,49,0,False,0.0,10
Program 0,55,G3,11.348689,11.446551,0.097862,49,0,False,0.0,10
Program 0,57,A3,11.546057,11.643919,0.097862,49,0,False,0.0,10
Program 0,62,D4,11.644742,11.742603,0.097862,49,0,False,0.0,10
Program 0,45,A2,9.473688,11.841288,2.3676,49,0,False,0.0,9
Program 0,57,A3,11.743426,11.841288,0.097862,49,0,False,0.0,10
Program 0,58,A#3,11.940794,12.038656,0.097862,49,0,False,0.0,11
Program 0,64,E4,12.039478,12.13734,0.097862,49,0,False,0.0,11
Program 0,58,A#3,12.138163,12.236025,0.097862,49,0,False,0.0,11
Program 0,62,D4,12.335531,12.433393,0.097862,49,0,False,0.0,11
Program 0,67,G4,12.434216,12.532077,0.097862,49,0,False,0.0,11
Program 0,62,D4,12.5329,12.630762,0.097862,49,0,False,0.0,11
Program 0,60,C4,12.730268,12.82813,0.097862,49,0,False,0.0,11
Program 0,65,F4,12.828952,12.926814,0.097862,49,0,False,0.0,11
Program 0,60,C4,12.927637,13.020564,0.092928,49,0,False,0.0,11
