part,measure,voice,offsetInMeasure,name,pitch,noteType,durationType,isChord,scoreOffset,startTimeSec,durationSec,isTrill,isGrace
Piano,1,,0.25,C4,60,normal,16th,False,0.25,0.098684,0.098684,False,False
Piano,1,,0.5,E4,64,normal,16th,False,0.5,0.197368,0.098684,False,False
Piano,1,,0.75,C4,60,normal,16th,False,0.75,0.296053,0.098684,False,False
Piano,1,,1.25,C4,60,normal,16th,False,1.25,0.493421,0.098684,False,False
Piano,1,,1.5,E4,64,normal,16th,False,1.5,0.592105,0.098684,False,False
Piano,1,,1.75,C4,60,normal,16th,False,1.75,0.690789,0.098684,False,False
Piano,1,,2.25,C4,60,normal,16th,False,2.25,0.888158,0.098684,False,False
Piano,1,,2.5,E4,64,normal,16th,False,2.5,0.986842,0.098684,False,False
Piano,1,,2.75,C4,60,normal,16th,False,2.75,1.085526,0.098684,False,False
Piano,2,,-2.75,B-3,58,normal,16th,False,0.25,0.098684,0.098684,False,False
Piano,2,,-2.5,D4,62,normal,16th,False,0.5,0.197368,0.098684,False,False
Piano,2,,-2.25,B-3,58,normal,16th,False,0.75,0.296053,0.098684,False,False
Piano,2,,-1.75,B-3,58,normal,16th,False,1.25,0.493421,0.098684,False,False
Piano,2,,-1.5,D4,62,normal,16th,False,1.5,0.592105,0.098684,False,False
Piano,2,,-1.25,B-3,58,normal,16th,False,1.75,0.690789,0.098684,False,False
Piano,2,,-0.75,B-3,58,normal,16th,True,2.25,0.888158,0.098684,False,False
Piano,2,,-0.75,D4,62,normal,16th,True,2.25,0.888158,0.098684,False,False
Piano,2,,-0.25,B3,59,normal,16th,True,2.75,1.085526,0.098684,False,False
Piano,2,,-0.25,D#4,63,normal,16th,True,2.75,1.085526,0.098684,False,False
Piano,3,,-5.75,C4,60,normal,16th,False,0.25,0.098684,0.098684,False,False
Piano,3,,-5.5,E4,64,normal,16th,False,0.5,0.197368,0.098684,False,False
Piano,3,,-5.25,C4,60,normal,16th,False,0.75,0.296053,0.098684,False,False
Piano,3,,-4.75,C4,60,normal,16th,False,1.25,0.493421,0.098684,False,False
Piano,3,,-4.5,E4,64,normal,16th,False,1.5,0.592105,0.098684,False,False
Piano,3,,-4.25,C4,60,normal,16th,False,1.75,0.690789,0.098684,False,False
Piano,3,,-3.75,C4,60,normal,16th,False,2.25,0.888158,0.098684,False,False
Piano,3,,-3.5,E4,64,normal,16th,False,2.5,0.986842,0.098684,False,False
Piano,3,,-3.25,C4,60,normal,16th,False,2.75,1.085526,0.098684,False,False
Piano,4,,-8.75,B-3,58,normal,16th,False,0.25,0.098684,0.098684,False,False
Piano,4,,-8.5,D4,62,normal,16th,False,0.5,0.197368,0.098684,False,False
Piano,4,,-8.25,B-3,58,normal,16th,False,0.75,0.296053,0.098684,False,False
Piano,4,,-7.75,A3,57,normal,16th,False,1.25,0.493421,0.098684,False,False
Piano,4,,-7.5,C#4,61,normal,16th,False,1.5,0.592105,0.098684,False,False
