instrument,pitch,noteName,startSec,endSec,durationSec,velocity,program,isDrum,bpm,measure
Program 0,65,F4,0.0,0.498958,0.498958,80,0,False,0.0,1
Program 0,70,A#4,0.5,0.998958,0.498958,80,0,False,0.0,1
Program 0,68,G#4,1.0,1.498958,0.498958,80,0,False,0.0,1
Program 0,66,F#4,1.5,1.998958,0.498958,57,0,False,0.0,1
Program 0,65,F4,2.0,2.748958,0.748958,33,0,False,0.0,2
Program 0,61,C#4,2.75,2.873958,0.123958,33,0,False,0.0,2
Program 0,63,D#4,2.875,2.998958,0.123958,33,0,False,0.0,2
Program 0,65,F4,3.0,3.998958,0.998958,33,0,False,0.0,2
Program 0,73,C#5,4.25,4.498958,0.248958,33,0,False,0.0,3
Program 0,72,C5,4.5,4.530208,0.030208,33,0,False,0.0,3
Program 0,73,C#5,4.53125,4.561458,0.030208,33,0,False,0.0,3
Program 0,72,C5,4.5625,4.623958,0.061458,33,0,False,0.0,3
Program 0,70,A#4,4.625,4.748958,0.123958,33,0,False,0.0,3
Program 0,82,A#5,4.75,4.998958,0.248958,33,0,False,0.0,3
Program 0,85,C#6,5.25,5.373958,0.123958,33,0,False,0.0,3
Program 0,84,C6,5.375,5.436458,0.061458,33,0,False,0.0,3
Program 0,85,C#6,5.4375,5.498958,0.061458,33,0,False,0.0,3
Program 0,84,C6,5.5,5.623958,0.123958,33,0,False,0.0,3
Program 0,82,A#5,5.625,5.748958,0.123958,33,0,False,0.0,3
Program 0,78,F#5,5.75,5.998958,0.248958,33,0,False,0.0,3
Program 0,89,F6,6.25,6.373958,0.123958,33,0,False,0.0,4
Program 0,87,D#6,6.375,6.436458,0.061458,33,0,False,0.0,4
Program 0,89,F6,6.4375,6.498958,0.061458,33,0,False,0.0,4
Program 0,87,D#6,6.5,6.623958,0.123958,33,0,False,0.0,4
Program 0,85,C#6,6.625,6.748958,0.123958,33,0,False,0.0,4
Program 0,94,A#6,6.75,6.873958,0.123958,33,0,False,0.0,4
Program 0,92,G#6,6.875,6.998958,0.123958,33,0,False,0.0,4
Program 0,101,F7,7.0,7.248958,0.248958,33,0,False,0.0,4
Program 0,68,G#4,8.0,8.498958,0.498958,80,0,False,0.0,5
Program 0,70,A#4,8.5,8.561458,0.061458,80,0,False,0.0,5
Program 0,68,G#4,8.5625,8.623958,0.061458,80,0,False,0.0,5
Program 0,66,F#4,8.625,8.748958,0.123958,80,0,False,0.0,5
Program 0,65,F4,8.75,8.998958,0.248958,80,0,False,0.0,5
Program 0,70,A#4,9.0,9.748958,0.748958,80,0,False,0.0,5
Program 0,70,A#4,9.75,9.998958,0.248958,80,0,False,0.0,5
Program 0,63,D#4,10.0,10.748958,0.748958,80,0,False,0.0,6
Program 0,65,F4,10.75,10.998958,0.248958,80,0,False,0.0,6
Program 0,66,F#4,11.0,11.998958,0.998958,80,0,False,0.0,6
Program 0,78,F#5,12.25,12.498958,0.248958,33,0,False,0.0,7
Program 0,77,F5,12.5,12.530208,0.030208,33,0,False,0.0,7
Program 0,78,F#5,12.53125,12.561458,0.030208,33,0,False,0.0,7
Program 0,77,F5,12.5625,12.623958,0.061458,33,0,False,0.0,7
Program 0,75,D#5,12.625,12.748958,0.123958,33,0,False,0.0,7
Program 0,87,D#6,12.75,12.998958,0.248958,33,0,False,0.0,7
Program 0,90,F#6,13.25,13.373958,0.123958,33,0,False,0.0,7
Program 0,89,F6,13.375,13.436458,0.061458,33,0,False,0.0,7
Program 0,90,F#6,13.4375,13.498958,0.061458,33,0,False,0.0,7
Program 0,89,F6,13.5,13.623958,0.123958,33,0,False,0.0,7
Program 0,87,D#6,13.625,13.748958,0.123958,33,0,False,0.0,7
Program 0,83,B5,13.75,13.998958,0.248958,33,0,False,0.0,7
Program 0,94,A#6,14.25,14.373958,0.123958,33,0,False,0.0,8
Program 0,92,G#6,14.375,14.436458,0.061458,33,0,False,0.0,8
Program 0,94,A#6,14.4375,14.498958,0.061458,33,0,False,0.0,8
Program 0,92,G#6,14.5,14.623958,0.123958,33,0,False,0.0,8
Program 0,90,F#6,14.625,14.748958,0.123958,33,0,False,0.0,8
Program 0,99,D#7,14.75,14.873958,0.123958,33,0,False,0.0,8
Program 0,97,C#7,14.875,14.998958,0.123958,33,0,False,0.0,8
Program 0,102,F#7,15.0,15.248958,0.248958,33,0,False,0.0,8
Program 0,70,A#4,16.0,16.748958,0.748958,33,0,False,0.0,9
Program 0,68,G#4,16.75,16.873958,0.123958,33,0,False,0.0,9
Program 0,65,F4,16.875,16.998958,0.123958,33,0,False,0.0,9
Program 0,70,A#4,17.0,17.748958,0.748958,33,0,False,0.0,9
Program 0,66,F#4,17.75,17.873958,0.123958,33,0,False,0.0,9
Program 0,63,D#4,17.875,17.998958,0.123958,33,0,False,0.0,9
