instrument,pitch,noteName,startSec,endSec,durationSec,velocity,program,isDrum,bpm,measure
Program 0,74,D5,0.0,0.123958,0.123958,90,0,False,0.0,1
Program 0,71,B4,0.125,0.248958,0.123958,90,0,False,0.0,1
Program 0,67,G4,0.25,0.373958,0.123958,90,0,False,0.0,1
Program 0,79,G5,0.375,0.45625,0.08125,90,0,False,0.0,2
Program 0,74,D5,0.625,0.748958,0.123958,90,0,False,0.0,2
Program 0,74,D5,0.875,0.998958,0.123958,90,0,False,0.0,2
Program 0,74,D5,1.125,1.248958,0.123958,90,0,False,0.0,2
Program 0,74,D5,1.375,1.405208,0.030208,90,0,False,0.0,2
Program 0,72,C5,1.40625,1.436458,0.030208,90,0,False,0.0,2
Program 0,71,B4,1.4375,1.498958,0.061458,90,0,False,0.0,2
Program 0,72,C5,1.5,1.561458,0.061458,90,0,False,0.0,2
Program 0,74,D5,1.5625,1.623958,0.061458,90,0,False,0.0,2
Program 0,76,E5,1.625,2.123958,0.498958,90,0,False,0.0,2
Program 0,69,A4,2.125,2.248958,0.123958,90,0,False,0.0,2
Program 0,72,C5,2.25,2.373958,0.123958,90,0,False,0.0,2
Program 0,72,C5,2.375,2.498958,0.123958,90,0,False,0.0,3
Program 0,71,B4,2.5,2.623958,0.123958,90,0,False,0.0,3
Program 0,76,E5,2.625,2.748958,0.123958,90,0,False,0.0,3
Program 0,74,D5,2.75,2.873958,0.123958,90,0,False,0.0,3
Program 0,72,C5,2.875,2.998958,0.123958,90,0,False,0.0,3
Program 0,71,B4,3.0,3.123958,0.123958,90,0,False,0.0,3
Program 0,69,A4,3.125,3.248958,0.123958,90,0,False,0.0,3
Program 0,67,G4,3.25,3.373958,0.123958,90,0,False,0.0,3
Program 0,66,F#4,3.375,3.457292,0.082292,90,0,False,0.0,3
Program 0,67,G4,3.458333,3.540625,0.082292,90,0,False,0.0,3
Program 0,69,A4,3.541667,3.623958,0.082292,90,0,False,0.0,3
Program 0,67,G4,3.625,3.873958,0.248958,90,0,False,0.0,3
Program 0,62,D4,4.125,4.207292,0.082292,70,0,False,0.0,3
Program 0,59,B3,4.208333,4.290625,0.082292,70,0,False,0.0,3
Program 0,55,G3,4.291667,4.373958,0.082292,70,0,False,0.0,3
Program 0,67,G4,4.375,4.45625,0.08125,70,0,False,0.0,4
Program 0,67,G4,4.625,4.748958,0.123958,70,0,False,0.0,4
Program 0,67,G4,4.875,4.998958,0.123958,74,0,False,0.0,4
Program 0,67,G4,5.125,5.248958,0.123958,78,0,False,0.0,4
Program 0,66,F#4,5.375,5.436458,0.061458,82,0,False,0.0,4
Program 0,64,E4,5.4375,5.498958,0.061458,83,0,False,0.0,4
Program 0,66,F#4,5.5,5.561458,0.061458,84,0,False,0.0,4
Program 0,67,G4,5.5625,5.623958,0.061458,85,0,False,0.0,4
Program 0,69,A4,5.625,5.686458,0.061458,86,0,False,0.0,4
Program 0,67,G4,5.6875,5.748958,0.061458,87,0,False,0.0,4
Program 0,69,A4,5.75,5.811458,0.061458,88,0,False,0.0,4
Program 0,71,B4,5.8125,5.873958,0.061458,89,0,False,0.0,4
Program 0,72,C5,5.875,6.373958,0.498958,90,0,False,0.0,4
Program 0,71,B4,6.375,6.457292,0.082292,90,0,False,0.0,5
Program 0,69,A4,6.458333,6.540625,0.082292,90,0,False,0.0,5
Program 0,67,G4,6.541667,6.623958,0.082292,90,0,False,0.0,5
Program 0,74,D5,6.625,6.707292,0.082292,90,0,False,0.0,5
