part,measure,voice,offsetInMeasure,name,pitch,noteType,durationType,isChord,scoreOffset,startTimeSec,durationSec,isTrill,isGrace
Midi_1,1,,0.0,D5,74,normal,16th,False,0.0,0.0,0.083333,False,False
Midi_1,1,,0.167,B4,71,normal,16th,False,0.167,0.083333,0.083333,False,False
Midi_1,1,,0.333,G4,67,normal,16th,False,0.333,0.166667,0.083333,False,False
Midi_1,2,,-0.5,G5,79,normal,eighth,False,0.0,0.0,0.25,False,False
Midi_1,2,,0.0,D5,74,normal,eighth,False,0.5,0.25,0.25,False,False
Midi_1,2,,0.5,D5,74,normal,eighth,False,1.0,0.5,0.25,False,False
Midi_1,2,,1.0,D5,74,normal,eighth,False,1.5,0.75,0.25,False,False
Midi_1,2,,1.5,D5,74,grace,eighth,False,2.0,1.0,0.0625,False,True
Midi_1,2,,1.5,C5,72,normal,32nd,False,2.0,1.0,0.0625,False,False
Midi_1,2,,1.625,B4,71,normal,32nd,False,2.125,1.0625,0.0625,False,False
Midi_1,2,,1.75,C5,72,normal,32nd,False,2.25,1.125,0.0625,False,False
Midi_1,2,,1.875,D5,74,normal,32nd,False,2.375,1.1875,0.0625,False,False
Midi_1,2,,2.0,E5,76,normal,eighth,False,2.5,1.25,0.25,False,False
Midi_1,2,,2.5,E5,76,normal,eighth,False,3.0,1.5,0.25,False,False
Midi_1,2,,3.0,A4,69,normal,16th,False,3.5,1.75,0.125,False,False
Midi_1,2,,3.25,C5,72,normal,16th,False,3.75,1.875,0.125,False,False
Midi_1,3,,-4.5,C5,72,normal,16th,False,0.0,0.0,0.125,False,False
Midi_1,3,,-4.25,B4,71,normal,16th,False,0.25,0.125,0.125,False,False
Midi_1,3,,-4.0,E5,76,normal,16th,False,0.5,0.25,0.125,False,False
Midi_1,3,,-3.75,D5,74,normal,16th,False,0.75,0.375,0.125,False,False
Midi_1,3,,-3.5,C5,72,normal,16th,False,1.0,0.5,0.125,False,False
Midi_1,3,,-3.25,B4,71,normal,16th,False,1.25,0.625,0.125,False,False
Midi_1,3,,-3.0,A4,69,normal,16th,False,1.5,0.75,0.125,False,False
Midi_1,3,,-2.75,G4,67,normal,16th,False,1.75,0.875,0.125,False,False
Midi_1,3,,-2.5,F#4,66,normal,16th,False,2.0,1.0,0.083333,False,False
Midi_1,3,,-2.333,G4,67,normal,16th,False,2.167,1.083333,0.083333,False,False
